ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
5707196353549,5707196353549,'Nduja Tärnad,TULIP,100 g,"19,83 kr",100.0 Gram,363.0,1502.0,33.0,13.0,0.5,0.5,,16.0,2.6,coop
7340191158337,7340191158337,5-minuterssill Hela filéer,Coop,410 G,"32,13 kr",100.0 Gram,214.0,897.0,10.0,2.5,21.0,21.0,,10.0,3.1,coop
7310070008282,7310070008282,7up,7UP,150 cl,"17,93 kr",100.0 Milliliter,19.0,82.0,0.0,0.0,4.7,4.7,,0.0,0.04,coop
7310070010629,7310070010629,7up Pink Lemonade sockerfri,7UP,50 cl,"13,20 kr",100.0 Milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.07,coop
7310070010636,7310070010636,7up Pink Lemonade Zero,7UP,33 cl,"8,99 kr",100.0 Milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.07,coop
7310070004680,7310070004680,7up Sockerfri,7up,150 cl,"17,93 kr",100.0 Milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.1,0.05,coop
7310070005281,7310070005281,7up Sockerfri,7-up,33 cl,"8,99 kr",100.0 Milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.1,0.05,coop
7310070007513,7310070007513,7up Zero,7up,33 cl,"10,88 kr",100.0 Milliliter,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.04,coop
7310070008312,7310070008312,7up Zero,7UP,150 cl,"17,93 kr",100.0 Milliliter,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.04,coop
7310070010506,7310070010506,7up Zero Pink Lemonade Zero,7UP,150 cl,"17,93 kr",100.0 Milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.07,coop
7300156492418,7300156492418,A-Fil 3%,Coop,1000 g,"14,78 kr",100.0 Gram,56.0,233.0,3.0,1.9,3.7,3.7,,3.5,0.09,coop
7300170062666,7300170062666,A-Fil 3% Eko,Änglamark,1000 g,"18,44 kr",100.0 Gram,60.0,250.0,3.0,1.9,3.7,3.7,,3.8,0.1,coop
7310865691774,7310865691774,A-Fil Dofilus 3%,Arla®,1000 g,"16,04 kr",100.0 Gram,58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,coop
7310865692894,7310865692894,A-Fil Dofilus Eko,Arla®,1500 g,"28,33 kr",100.0 Gram,58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,coop
7310865691804,7310865691804,A-Fil Plus Dofilus 3% Eko,Arla®,1000 g,"19,15 kr",100.0 Gram,58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,coop
