ean,article
8001250015563,101332192_ST
8007153007490,101590296_ST
7310050001067,101841082_ST
3080216060453,101499200_ST
3080216062327,101551616_ST
5900649011052,101506635_ST
8445291509863,101841031_ST
8445290914200,101677354_ST
7340154813662,101620044_ST
7312080008290,101847647_ST
5997523312114,101527909_ST
7350126082712,101406051_ST
8719128117294,101342345_ST
7310070008282,101884509_ST
7310070008268,101874846_ST
7310070008305,101884538_ST
7310070008312,101886721_ST
7310070008299,101874851_ST
8712100446306,101219604_ST
7310401034799,101278911_ST
7311043002290,101476110_ST
7310865692917,101280139_ST
7311041071953,101184902_ST
7340083496219,101353105_ST
7310865691774,101280300_ST
7310865691804,101280335_ST
7340083469176,101285732_ST
5701073061558,101801657_ST
7317530110875,101591342_ST
8711327624917,101615628_ST
7340123700450,101277525_ST
5772739447313,101834790_ST
3088542506256,101185687_ST
3088542506508,101228322_ST
7350042722228,101256645_ST
8410422005026,101440208_ST
7322550097587,101247613_ST
7340083436246,101224871_ST
7311043000913,101441814_ST
7313160004805,101283505_ST
7315200591047,101676756_ST
7350126089605,101676612_ST
5701607592787,101854716_ST
3850104051029,100229432_ST
7340062800723,101544775_ST
3850104050565,100229478_ST
7340062800747,101544776_ST
7340083485459,101330002_ST
3088540504018,101365386_ST
7340083453045,101258144_ST
7310070002396,101255404_ST
5410228279518,101330614_ST
7394048001055,101104733_ST
7391693382843,101225201_ST
5059319035604,101667163_ST
5059319033136,101667164_ST
7340222801669,101824237_ST
7350060088306,101591538_ST
7331217881469,101176209_ST
7310700676317,100584556_ST
7310700817703,100258016_ST
7310700817253,100261440_ST
7312490059684,100443432_ST
7311310281014,101230428_ST
7315200593911,101216995_ST
7311310029500,100426148_ST
7311311016240,101544882_ST
7312930000634,100841546_ST
8721274813876,101840644_ST
5411188112709,101207874_ST
5411188110835,101197313_ST
5410471110217,100529572_ST
7331044075901,101192300_ST
7310760012537,101261379_ST
7310760012544,101261326_ST
74029,100145594_ST
7340083445101,101239699_ST
7310401058863,101831526_ST
7311043002320,101476345_ST
7311043021581,101762268_ST
5038862003636,101599624_ST
7350139071307,101847708_ST
38900006495,101109694_ST
38900015329,101110227_ST
7340083401541,101191813_ST
7312060200195,101349534_ST
38900014803,101591184_ST
7310500186733,101470652_ST
7392055051469,101473460_ST
7340083485190,101329872_ST
7311311004261,101262318_ST
7350024493337,101436954_ST
2375877900004,101545510_KG
7311170022123,100602518_ST
7311170022116,100279850_ST
5038862238595,101314591_ST
5038862230643,101315379_ST
7340083427954,101206371_ST
7340083427961,101206372_ST
7350027791775,101380003_ST
7311041062340,101114474_ST
54033870,101855870_ST
90375910,101264539_ST
7311043000661,101441823_ST
7311043023615,101823999_ST
7350068170058,101425807_ST
7310070008923,101883546_ST
7310401058801,101831588_ST
7310403058830,101831521_ST
7310401058818,101831524_ST
7350126081555,101354919_ST
73104711,100574442_ST
4000243108194,100563310_ST
7340083435355,101224591_ST
5701211012923,101255155_ST
7340083401725,101191666_ST
3608580778752,101854053_ST
7317661710241,100260628_ST
7310090410690,100405250_ST
7310090401698,100443183_ST
7311043010004,101578236_ST
7310090400226,101274542_ST
7311043018888,101827623_ST
7350068170010,101425559_ST
9002515603234,101854473_ST
7313619001263,101324012_ST
7311043015917,101782413_ST
7310090150534,100508210_ST
7310090344131,101251298_ST
7310090344063,101251256_ST
7350000552300,101424225_ST
7310070008879,101873493_ST
7310072001175,101873503_ST
7313619001270,101324013_ST
5281099000262,101553588_ST
7312690021436,101051246_ST
5000112654158,101364593_ST
7340083474095,101290435_ST
7310867561402,101200159_ST
7310867561006,100972930_ST
7340083411199,101202804_ST
7311043019014,101730188_ST
7340083456886,101263793_ST
7311043018987,101804556_ST
7313619002611,101834007_ST
5038862132893,101515206_ST
7313619001539,101324030_ST
7313619001324,101324016_ST
7311043018994,101730156_ST
7340083456695,101263331_ST
5038862430456,101341237_ST
5701073062708,100808262_ST
2379746700009,101677108_KG
2351363200001,101612760_KG
2379746800006,101677047_KG
2379746600002,101677046_KG
5038862136389,101307281_ST
7340183500700,101847664_ST
1210002014397,101776351_ST
5038862139496,101307286_ST
5038862138581,101307285_ST
5038862138376,101307284_ST
7350092180221,101500849_ST
7350099240300,101730177_ST
2090164800002,100126123_KG
7340083435362,101224589_ST
3388600000369,100671159_ST
5701211012985,101255156_ST
7310090421696,100605187_ST
7310090420699,100543654_ST
7310090420224,101274525_ST
7340083446801,101243561_ST
7340083407536,101205494_ST
7310470065281,100513570_ST
7310470071107,100513641_ST
8034028332548,101841093_ST
8002270236976,101874889_ST
8002270556968,101884329_ST
8002270236952,101887429_ST
7310941803411,100930502_ST
7310941801707,100139761_ST
7310941803220,100139627_ST
7310941803237,100156126_ST
7317731535002,101474394_ST
7350002404980,101186078_ST
7311043008742,101599140_ST
7350146812535,101824154_ST
8004769254065,101607345_ST
8712566319206,101192413_ST
7310394005912,100013183_ST
7340083443305,101231940_ST
8076809513388,100418870_ST
7611612142199,101265699_ST
7331061000856,101275241_ST
7340083453441,101259158_ST
7311043004263,101501038_ST
7311311015175,101282486_ST
7611612121019,101317326_ST
7311312007513,101436071_ST
7340083499920,101433527_ST
7311311004278,101262253_ST
7350058337003,101847309_ST
5701009045461,101804494_ST
7310628008870,101513658_ST
2091101000004,101352994_KG
74603,100773272_ST
8697406271657,101337569_ST
5060947542419,101488871_ST
9421009030347,101346310_ST
7311041052105,101064376_ST
8718366133844,101357956_ST
74227,100151933_ST
7311041052112,100960346_ST
7340083476228,101295347_ST
7340083476211,101295346_ST
7312631006027,100221644_ST
7350042716678,101262284_ST
7350056796000,101245980_ST
7350056791500,101245618_ST
7613035850194,101269386_ST
8000500227848,101283012_ST
7350113940032,101335301_ST
7611612109406,101285966_ST
7310500026039,100655792_ST
7340083466830,101281469_ST
7340083444333,101240156_ST
7340083465543,101281446_ST
7340083465567,101281488_ST
8711327416192,101337938_ST
7340062457941,101690521_ST
7311442161604,101070957_ST
7300202024006,101773978_ST
7310240079586,101210866_ST
7300204336008,101274449_ST
7340083497346,101406133_ST
7311043001354,101458935_ST
5707196031836,100817092_ST
7330797088039,101284084_ST
7313160020324,101829586_ST
7311441343308,101276062_ST
7311441160608,100612017_ST
7330797088077,101464783_ST
7393145095714,101608078_ST
4022993045857,101310695_ST
7317530110097,101591397_ST
7317530110035,101591291_ST
7340083480829,101308580_ST
7317530110318,101591288_ST
7340083446870,101243972_ST
7311043028689,101848670_ST
4018342195281,100908680_ST
7340083495236,101359199_ST
7340083442551,101231195_ST
7340083495250,101359201_ST
6416453054585,101607681_ST
6416453054578,101607680_ST
6416453054561,101607679_ST
6416453054554,101607678_ST
6430081490607,101784522_ST
7350113940407,101346907_ST
6438207011798,101226874_ST
74729,100266196_ST
7311041064481,101174046_ST
7340083492341,101352436_ST
5701073066485,101804581_ST
7350126086796,101520688_ST
7350166370176,101678524_ST
8032754439746,101260614_ST
7311041068786,101182140_ST
7311041068243,101182139_ST
8032754435519,101260613_ST
7350002400470,100364491_ST
7350002400487,100364552_ST
7350002400531,100364712_ST
7350002401095,100019132_ST
7350116922769,101188772_ST
7611612109383,101285964_ST
6408432106194,100848629_ST
2090165600007,100068089_KG
2090165400003,100235247_KG
7311870012516,101778545_ST
7350000553253,101676264_ST
7350021426321,101777728_ST
7311043018949,101730184_ST
7311043019038,101730190_ST
7311041081198,101259156_ST
7311043004447,101504269_ST
1220000450028,101545795_ST
6408430102365,101457193_ST
7311043008940,101551209_ST
6408430102068,101298392_ST
7340083480126,101317693_ST
6430081491277,101777144_ST
6430081491642,101853814_ST
7340150801007,101288314_ST
6430081491420,101833698_ST
5063270127827,101837794_ST
5063270127780,101837795_ST
6430081491291,101777145_ST
6430081491659,101853813_ST
6408430102358,101457192_ST
7340150800819,101681404_ST
7310628008924,101512423_ST
7311043021574,101762229_ST
7311043021567,101762228_ST
7311043017652,101703228_ST
8076809513739,100524194_ST
7311043014644,101667244_ST
7311311014154,101282294_ST
7310394002751,101386741_ST
7340083490538,101343679_ST
7340083470042,100459433_ST
7350018560502,101808978_ST
7311311015342,101282447_ST
7350002406199,101228017_ST
7311043018369,101722015_ST
7311043002542,101488800_ST
5011157630274,101551157_ST
7311043018352,101722014_ST
7332140001061,101262952_ST
7311043002528,101488798_ST
7340083479144,101305505_ST
7340083496332,101362902_ST
7311043002535,101488799_ST
7340083465284,101277505_ST
7340083465260,101277483_ST
5410673006349,101352154_ST
7311043008681,101549855_ST
7340083465277,101277484_ST
5410673006325,101352152_ST
7350113940599,101527875_ST
7331217015734,101608123_ST
7320880012973,101708451_ST
8076800195132,100871665_ST
7310072001151,101834116_ST
7310072001144,101834139_ST
7392031803853,101838887_ST
7392031803877,101838919_ST
8711118031955,101335430_ST
7315200590934,101545821_ST
7315200590835,101545794_ST
7315200590972,101545831_ST
7315200590996,101545833_ST
7315200590873,101545811_ST
7315200591016,101545809_ST
7315200591030,101545810_ST
7315200590958,101545830_ST
7315200590811,101545793_ST
7350126089186,101677016_ST
1220000450042,101545838_ST
1220000450066,101545797_ST
1220000450059,101545839_ST
7312787712117,100198518_ST
7611612109413,101285967_ST
7340046089052,101470640_ST
7350042720002,101012048_ST
7313160005185,101291186_ST
7313160004751,101283477_ST
7313160004744,101283524_ST
7313160004782,101283476_ST
7313160006588,101419179_ST
7313160003235,101230923_ST
7313160019410,101692543_ST
7311043005413,101527873_ST
7350126087199,101676606_ST
7315200590842,101676751_ST
7313310016016,101208386_ST
7313160004317,101264748_ST
7340083436208,101224852_ST
7340083441059,101245523_ST
7322550092094,101205365_ST
7322550092001,101205409_ST
7313160020201,101776438_ST
7313619003052,101824149_ST
7350027799108,101608093_ST
4012824404410,101281542_ST
8935311140003,101607816_ST
7350068171284,101834011_ST
3415581113921,101277252_ST
4002720008102,101506926_ST
7311043002696,101482478_ST
7391693211464,101701515_ST
4013832425657,101844216_ST
7611612404839,101816062_ST
7310130003790,101212350_ST
7310130004469,101225319_ST
7340131603781,101550534_ST
7350068293320,101680523_ST
1230000068048,101316947_ST
2313710100006,101203941_KG
2090212800008,100152488_KG
96079867,101327345_ST
7350090451750,101466482_ST
2090183100008,100127024_KG
5701073061039,101233430_ST
7350046464810,101345234_ST
7311041034125,100726109_ST
7311311004537,101262342_ST
7311875914938,101447923_ST
8425644004122,101412779_ST
90167249,101232140_ST
8006890625066,101348013_ST
7312220096019,101084489_ST
5410126006360,101333102_ST
5410126006353,101333101_ST
5410126156973,101844378_ST
5410126006377,101333103_ST
8600043003307,100797782_ST
8690504115113,101690966_ST
7315360063309,101186070_ST
7340083493607,101354874_ST
4102430089474,101857355_ST
7311041063354,101154616_ST
7350093030235,101304552_ST
5701073065037,101300394_ST
5701073064696,100954629_ST
7340083478314,101302296_ST
7310090155539,100015029_ST
7330583004397,100772530_ST
5701211013081,101255185_ST
7340083439681,101229932_ST
7391603250521,101503836_ST
7310500057590,100793474_ST
7350115941051,101825579_ST
7340083450587,101250204_ST
7611612121620,101824037_ST
7311310026806,100058214_ST
7314536331402,101545669_ST
5063270111925,101584151_ST
7311043022922,101799924_ST
7311043028702,101848889_ST
7311041009536,100462447_ST
7312730072602,101731493_ST
7340083442971,101232127_ST
7310500185729,101349481_ST
7350027796862,101337628_ST
7340083455360,101262310_ST
7350002403440,100932537_ST
7350027795315,101289887_ST
7300206089001,101776552_ST
7311043021390,101771411_ST
2355022800007,101203649_KG
7340045504228,101106143_ST
2355021900005,101203648_KG
7311043011957,101599080_ST
7340062428569,101602784_ST
7340083482168,101316312_ST
5202390017599,101257437_ST
5202390020407,101278407_ST
7340083431227,101214415_ST
7340083431234,101214445_ST
5202390007934,101257432_ST
7310401059686,101835846_ST
7310402059685,101832199_ST
7611612404297,101552300_ST
7311043017911,101705544_ST
7310943092523,101211369_ST
7310943092561,101211373_ST
7310943092530,101211372_ST
7310500045573,100111488_ST
7340083478338,101302328_ST
7340083484568,101328911_ST
2090970200003,101286423_KG
7340083468933,101284152_ST
7311043001705,101473883_ST
3088541015919,101523708_ST
3088545004001,101203219_ST
7311841591101,101299929_ST
7311841591200,101301802_ST
7310760012568,101276198_ST
7613036961608,101546223_ST
7340131605891,101781648_ST
7312720144111,101860403_ST
3292482350057,101340531_ST
7350092180290,101805786_ST
5701073041413,101277610_ST
8711327663640,101696462_ST
3272770015981,101357787_ST
90376825,101203089_ST
5063270127728,101837787_ST
7310731103028,101677317_ST
7340131605235,101599209_ST
5038862134293,101307185_ST
7311041081730,101261767_ST
7310070008718,101833675_ST
5411188110743,101189719_ST
7393010035715,100614220_ST
7310090776628,100658012_ST
7310240406085,101320763_ST
7310240407969,101304732_ST
7311043016624,101693179_ST
7392128810016,101447696_ST
7340083443091,101231808_ST
7310861011538,101367028_ST
7310861012504,101314780_ST
7350000550573,101291960_ST
7311043025435,101821169_ST
7311043026654,101829361_ST
7312690201333,101548102_ST
7310090272229,101274552_ST
7350099111129,101282537_ST
8717496044242,101259152_ST
4014071624238,100764503_ST
4016241051011,101719940_ST
4016241050540,101405060_ST
7310865698391,101283159_ST
7310240407921,101260585_ST
7350028540532,100238967_ST
7310520003027,101223473_ST
7313619002840,101834003_ST
7350093031164,101304560_ST
7350000552324,101424226_ST
7392672003773,101284367_ST
7311043025466,101821150_ST
5900643035023,101246140_ST
7311443210400,101197654_ST
7350000553185,101705520_ST
7311070006421,101847588_ST
