ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
8001250015563,101332192_ST,100% Italiano Extra Jungrfruolja Olivolja,De Cecco,100 milliliter,"131,50 kr",824.0,3389.0,91.6,15.0,0.0,0.0,,0.0,0.0,hemkop
8007153007490,101590296_ST,100% Italiensk Extra Virgin Olivolja,Farchioni,100 gram,122 kr,828.0,3404.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,hemkop
7310050001067,101841082_ST,120år Ltd Ra Mörkrost,Löfbergs,,"67,14 kr",,,,,,,,,,
3080216060453,101499200_ST,"1664 Blanc 0,0% Veteöl, Glasflaska",Kronenbourg,100 milliliter,"16,98 kr",29.0,121.0,0.0,0.0,6.7,3.8,,0.4,0.01,hemkop
3080216062327,101551616_ST,"1664 Blanc 3,5% Öl, Burk",1,100 milliliter,"16,98 kr",32.0,132.0,,,,,,,,hemkop
5900649011052,101506635_ST,3in 1 Classic Snabbkaffe,Mokate,,"22,66 kr",,,,,,,,,,
8445291509863,101841031_ST,3in1,Nescafé,100 gram,"30,23 kr",432.0,1819.0,13.6,12.4,74.8,55.9,2.6,1.3,1.3,hemkop
8445290914200,101677354_ST,3in1 Creamy Latte Kaffekapslar,Nescafé,100 gram,"30,23 kr",433.0,1823.0,12.6,11.5,75.9,58.7,1.9,3.0,1.4,hemkop
7340154813662,101620044_ST,4 Cheese Mac & Cheese 2 Portioner,Macheaven,100 gram,"28,34 kr",398.0,1677.0,8.9,3.0,64.0,9.8,,14.0,2.0,hemkop
7312080008290,101847647_ST,4frön Havssalt Tunnknäcke,Leksands,100 gram,"37,80 kr",2050.0,490.0,27.5,3.4,35.5,2.5,9.5,21.0,2.4,hemkop
5997523312114,101527909_ST,5 Spices Beef Cup Noodles,Nissin,100 milliliter,"21,72 kr",78.0,326.0,3.0,1.5,9.6,0.8,,2.5,1.2,hemkop
7350126082712,101406051_ST,5minuters Sill Hela Filéer,Abba,100 gram,"44,43 kr",268.0,1124.0,13.0,3.4,27.0,26.0,,11.0,3.6,hemkop
8719128117294,101342345_ST,7 Up Free Soda Mix,Sodastream,100 milliliter,"56,73 kr",0.6,2.0,0.0,0.0,0.0,0.0,,0.0,0.05,hemkop
7310070008282,101884509_ST,7up Lemon Lime Läsk Pet,7up,100 milliliter,"20,77 kr",19.0,82.0,0.0,0.0,4.7,4.7,,0.0,0.04,hemkop
7310070008268,101874846_ST,7up Regular Läsk Burk,7up,100 milliliter,"10,36 kr",19.0,82.0,0.0,0.0,4.7,4.7,,0.0,0.04,hemkop
7310070008305,101884538_ST,7up Zero Lemon Lime Läsk Pet,7up,100 milliliter,"14,14 kr",1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.04,hemkop
7310070008312,101886721_ST,7up Zero Läsk Pet,7up,100 milliliter,"20,77 kr",1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.04,hemkop
7310070008299,101874851_ST,"7up Zero Läsk, Burk",7up,100 milliliter,"10,36 kr",1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.04,hemkop
8712100446306,101219604_ST,88an Glass,Gb Glace,100 milliliter,"54,84 kr",196.0,819.0,12.0,6.2,19.0,18.0,0.7,2.1,0.07,hemkop
7310401034799,101278911_ST,A Ship Full Of Alcohol Free Ipa 0% Alkfri Eg,Brutal Brewing,100 milliliter,"16,98 kr",20.0,100.0,0.5,0.5,5.3,0.5,,0.5,0.01,hemkop
7311043002290,101476110_ST,A-fil 3%,Garant,100 gram,"15,20 kr",58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,hemkop
7310865692917,101280139_ST,A-fil Dofilus Naturell Laktosfri 3%,Arla,100 gram,"26,85 kr",52.0,216.0,3.0,1.9,1.8,1.8,,3.7,0.09,hemkop
7311041071953,101184902_ST,A-fil Ekologisk 3%,Garant Eko,100 gram,"17,50 kr",58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,hemkop
7340083496219,101353105_ST,A-fil Naturell Acidophilus Laktosfri 3%,Garant,100 gram,"20,85 kr",50.0,208.0,3.0,1.9,2.2,2.2,,3.5,0.1,hemkop
7310865691774,101280300_ST,A-fil Naturell Dofilus 3%,Arla,100 gram,"15,85 kr",58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,hemkop
7310865691804,101280335_ST,A-fil Naturell Eko Dofilus 3%,Arla,100 gram,"18,50 kr",58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,hemkop
7340083469176,101285732_ST,Aah Örtte Hibiskus med Blåbär & Havtorn,Garant,,"19,40 kr",,,,,,,,,,
5701073061558,101801657_ST,Abc Sprinkles,Dr Oetker,100 gram,"16,20 kr",423.0,1792.0,5.7,0.5,93.0,85.0,,0.0,0.02,hemkop
7317530110875,101591342_ST,Abisko 8-pack,Polarbröd,100 gram,"26,45 kr",300.0,1260.0,3.9,0.7,55.0,9.8,3.9,8.9,0.88,hemkop
8711327624917,101615628_ST,After Dinner Glass,Magnum,35 milliliter,"49,16 kr",101.0,421.0,6.6,4.6,8.9,8.0,0.5,1.2,0.04,hemkop
7340123700450,101277525_ST,Agar Agar Pulver,Khoisan Tea,,"42,54 kr",,,,,,,,,,
5772739447313,101834790_ST,Agave Sirap,Jakobsen,100 gram,"35,91 kr",330.0,1390.0,0.0,0.0,80.0,80.0,,0.0,0.0,hemkop
3088542506256,101185687_ST,Agavesirap,Sunny Bio,100 gram,"34,02 kr",320.0,1360.0,0.5,0.1,80.0,79.0,,0.5,0.01,hemkop
3088542506508,101228322_ST,Agavesirap Ekologiskt,Sunny Bio,100 gram,"58,63 kr",320.0,1360.0,0.5,0.1,80.0,79.0,0.5,0.5,0.01,hemkop
7350042722228,101256645_ST,Aioli,Eriks Såser,100 gram,"27,39 kr",700.0,3000.0,79.0,5.4,1.0,0.5,,0.8,0.9,hemkop
8410422005026,101440208_ST,Aioli Allioli Mortero,Chovi,100 gram,"26,25 kr",749.0,3080.0,82.0,10.0,1.5,0.0,,1.2,1.3,hemkop
7322550097587,101247613_ST,Aioli Garlic & Mayo,Blå Band,15 milliliter,"26,45 kr",107.0,439.0,12.0,0.9,0.5,0.5,0.1,0.5,0.19,hemkop
7340083436246,101224871_ST,Aioli Klassisk,Garant,100 milliliter,"18,88 kr",600.0,2600.0,69.0,5.0,0.8,0.5,,0.7,0.9,hemkop
7311043000913,101441814_ST,Aioli Klassisk,Garant,100 milliliter,"32,13 kr",600.0,2600.0,69.0,5.0,0.8,0.5,,0.7,0.9,hemkop
7313160004805,101283505_ST,Aioli Original,Lohmanders,100 gram,"24,55 kr",700.0,2850.0,75.0,5.6,3.6,1.7,,1.3,0.9,hemkop
7315200591047,101676756_ST,Aioli Original,Caj P,100 gram,"28,34 kr",660.0,2764.0,74.0,5.4,1.3,1.0,,0.5,1.0,hemkop
7350126089605,101676612_ST,Aioli Sås,Felix,100 gram,"32,13 kr",428.0,1792.0,46.0,3.4,3.0,0.1,,0.7,1.0,hemkop
5701607592787,101854716_ST,Airfryer Spray Olja,Dava,100 milliliter,"47,27 kr",828.0,3404.0,92.0,12.0,0.0,0.0,0.0,0.0,0.0,hemkop
3850104051029,100229432_ST,Ajvar Mild,Podravka,100 gram,"23,61 kr",78.0,325.0,4.0,0.3,8.0,8.0,,1.5,1.5,hemkop
7340062800723,101544775_ST,Ajvar Mild,Minella,100 gram,"40,64 kr",77.0,321.0,3.9,0.6,8.3,8.2,2.0,1.2,0.8,hemkop
3850104050565,100229478_ST,Ajvar Stark,Podravka,100 gram,"23,61 kr",78.0,325.0,4.0,0.3,8.0,8.0,,1.5,1.5,hemkop
7340062800747,101544776_ST,Ajvar Stark,Minella,100 gram,"40,64 kr",76.0,318.0,3.6,0.6,8.1,8.0,3.0,1.2,1.0,hemkop
7340083485459,101330002_ST,Akaciahonung,Eldorado,100 gram,"39,70 kr",320.0,1360.0,0.5,0.0,79.0,79.0,,0.5,0.02,hemkop
3088540504018,101365386_ST,Akaciahonung,Lune De Miel,100 gram,"41,59 kr",320.0,1360.0,0.0,0.0,80.0,80.0,,0.0,0.02,hemkop
7340083453045,101258144_ST,Alaska Pollock Fryst/4-pack,Eldorado,100 gram,"34,02 kr",80.0,320.0,0.8,0.1,0.0,0.0,,17.0,0.3,hemkop
7310070002396,101255404_ST,"Alcohol Free 0,5% Alkfri Glas",Carlsberg,100 milliliter,"12,25 kr",20.0,83.0,0.0,0.0,3.9,1.2,,0.4,0.02,hemkop
5410228279518,101330614_ST,"Alcohol Free Ljus Lager 0,0% Alkfri Glas",Stella Artois,100 milliliter,"14,14 kr",18.0,76.0,0.0,0.0,4.2,0.8,,0.3,0.0,hemkop
7394048001055,101104733_ST,Alfalfagroddar Ekologisk,,,"21,85 kr",,,,,,,,,,
7391693382843,101225201_ST,Algsallad Low Carb,Risberg,100 gram,"33,07 kr",30.0,126.0,0.0,0.0,4.0,0.0,,4.0,0.85,hemkop
5059319035604,101667163_ST,All Bran Original Flakes,Kellogg's,100 gram,"61,47 kr",358.0,1509.0,2.2,0.4,65.0,14.0,17.0,11.0,0.66,hemkop
5059319033136,101667164_ST,All Bran Original Flakes,Kellogg's,100 gram,"46,32 kr",358.0,1509.0,2.2,0.4,65.0,14.0,17.0,11.0,0.66,hemkop
7340222801669,101824237_ST,All Day Lemonade Vitamindryck Pet,Vitamin Well,100 milliliter,"20,77 kr",17.0,71.0,0.0,0.0,4.0,4.0,0.0,0.0,0.04,hemkop
7350060088306,101591538_ST,Allkrydda,Dr Chef,100 gram,"39,70 kr",129.5,542.2,0.61,,24.1,0.0,,6.93,58.45,hemkop
7331217881469,101176209_ST,Allkrydda Burk,Sevan,100 gram,"35,91 kr",128.0,537.0,0.6,0.1,24.0,18.0,,6.5,56.0,hemkop
7310700676317,100584556_ST,Allkrydda Piffi Burk,Kockens,,"46,32 kr",,,,,,,,,,
7310700817703,100258016_ST,Allkrydda Piffi Burk,Kockens,,"30,23 kr",,,,,,,,,,
7310700817253,100261440_ST,Allkrydda Piffi Påse,Kockens,,"23,61 kr",,,,,,,,,,
7312490059684,100443432_ST,Allround Glazer,Caj P,100 gram,"9,93 kr",268.0,1120.3,25.6,8.8,8.6,2.8,,1.47,7.14,hemkop
