ean,article
8007153007490,101590296_ST
3080216060453,101499200_ST
3080216062327,101551616_ST
5900649011052,101506635_ST
8445291509863,101841031_ST
7340154813662,101620044_ST
5997523312114,101527909_ST
7350126082712,101406051_ST
8719128117294,101342345_ST
7340083443602,101231748_ST
3046920028004,100403154_ST
3046920029780,101179861_ST
3046920022422,101780346_ST
3046920022439,101780348_ST
7310070005281,101364835_ST
7340083470752,101286436_ST
3046920028363,100383327_ST
3046920022446,101780347_ST
7310290002268,100477887_ST
8712100446306,101219604_ST
3046920029759,101043363_ST
7310401034799,101278911_ST
7311043002290,101476110_ST
7331102000715,100674913_ST
7311041071953,101184902_ST
7393061019269,100106939_ST
7340083496219,101353105_ST
7340083469176,101285732_ST
3529380020837,101774912_ST
7313830006429,101274545_ST
8711327624917,101615628_ST
5000189363069,101207525_ST
7340123700450,101277525_ST
5772739447313,101834790_ST
3088542506508,101228322_ST
7310350109906,100164778_ST
7394101450028,101194972_ST
8410422005026,101440208_ST
7322550097587,101247613_ST
7311043000913,101441814_ST
7340083436246,101224871_ST
7315200591047,101676756_ST
7313160004805,101283505_ST
7350126089605,101676612_ST
7340062800723,101544775_ST
8691573022128,101649794_ST
7340062800747,101544776_ST
8691573023125,101660087_ST
7340083453045,101258144_ST
7310070002396,101255404_ST
5410228279518,101330614_ST
7394048001055,101104733_ST
5059319035604,101667163_ST
7340222801669,101824237_ST
7350060088306,101591538_ST
7310700817703,100258016_ST
7310700676317,100584556_ST
7310700817253,100261440_ST
7311310027605,100426139_ST
7311310281014,101230428_ST
7315200593911,101216995_ST
7311310029500,100426148_ST
7311311016240,101544882_ST
7312930000634,100841546_ST
8714100659922,101840663_ST
8721274813876,101840644_ST
8711327614109,101547888_ST
5411188112709,101207874_ST
5411188110835,101197313_ST
8720701144934,101832472_ST
5410471110217,100529572_ST
7331044075901,101192300_ST
7310960788171,101506793_ST
7310960788140,101506630_ST
7310760012537,101261379_ST
7310760012544,101261326_ST
74029,100145594_ST
7340083445101,101239699_ST
7311043021581,101762268_ST
7311043002320,101476345_ST
5038862003636,101599624_ST
38900006495,101109694_ST
38900015329,101110227_ST
7340083401541,101191813_ST
7312060200195,101349534_ST
38900014803,101591184_ST
7310500186733,101470652_ST
7392055051469,101473460_ST
7340083485190,101329872_ST
7310700811497,100695473_ST
7350024493337,101436954_ST
7350033505731,101806267_ST
2375877900004,101545510_KG
7311170022116,100279850_ST
7311170022123,100602518_ST
7340083492969,101353779_ST
5038862238595,101314591_ST
5038862230643,101315379_ST
7340083427954,101206371_ST
7340083427961,101206372_ST
7311041062340,101114474_ST
7622400706035,100500361_ST
90375910,101264539_ST
7311043000661,101441823_ST
3492390000352,100671293_ST
7310867000369,101776402_ST
7311043023615,101823999_ST
7350068170058,101425807_ST
2090100300009,100126114_KG
7310070008923,101883546_ST
7310403058830,101831521_ST
7310401058818,101831524_ST
7310401058832,101834343_ST
7350126081555,101354919_ST
5701211012923,101255155_ST
7340083435355,101224591_ST
73104711,100574442_ST
7340083401725,101191666_ST
4000243108194,100563310_ST
7310090410690,100405250_ST
7310090401698,100443183_ST
7311043010004,101578236_ST
7310090400240,101397582_ST
7311043018888,101827623_ST
7350068170010,101425559_ST
7311043018321,101709851_ST
7311043015917,101782413_ST
7310090150534,100508210_ST
7310090344131,101251298_ST
7350000552300,101424225_ST
7310072001175,101873503_ST
5281099000262,101553588_ST
7312690021436,101051246_ST
5000112654158,101364593_ST
7340083474095,101290435_ST
7340083474132,101290464_ST
7310867561402,101200159_ST
7340083411199,101202804_ST
7311043019014,101730188_ST
7340083456886,101263793_ST
7311043018987,101804556_ST
7313619002611,101834007_ST
5038862132893,101515206_ST
7313619001539,101324030_ST
7311043018994,101730156_ST
7340083456695,101263331_ST
5038862430456,101341237_ST
7622201513184,101366259_ST
7622202239427,101773963_ST
2351363200001,101612760_KG
5038862136389,101307281_ST
4820229280917,101821202_ST
1210002014397,101776351_ST
5038862138581,101307285_ST
5038862139496,101307286_ST
5038862138376,101307284_ST
7310960052685,101801385_ST
2090164800002,100126123_KG
7340083435362,101224589_ST
3388600000369,100671159_ST
5701211012985,101255156_ST
7340083401732,101191658_ST
7310090421696,100605187_ST
7310090420699,100543654_ST
7310090420224,101274525_ST
7340083446801,101243561_ST
7340083471940,101286580_ST
7340083407536,101205494_ST
7310470071107,100513641_ST
8002270236976,101874889_ST
7310941803411,100930502_ST
7310941801707,100139761_ST
7310941803381,100816789_ST
7310941803237,100156126_ST
7310941803220,100139627_ST
7350002404980,101186078_ST
7311043008742,101599140_ST
8004769254065,101607345_ST
8712566319206,101192413_ST
7310394005912,100013183_ST
8076809513388,100418870_ST
7340083443305,101231940_ST
7340083453441,101259158_ST
7311043004263,101501038_ST
7611612121019,101317326_ST
7311312007513,101436071_ST
7392055251296,101696571_ST
7340083499920,101433527_ST
7310700815228,100696150_ST
8003340000091,101037600_ST
7350058337003,101847309_ST
5701009045461,101804494_ST
74603,100773272_ST
8697406271657,101337569_ST
7340149203508,101276287_ST
7311041052105,101064376_ST
8718366133844,101357956_ST
74227,100151933_ST
7311041052112,100960346_ST
7340083476228,101295347_ST
7340083476211,101295346_ST
7312631006027,100221644_ST
7350042716678,101262284_ST
7350056791500,101245618_ST
7350056796000,101245980_ST
7613035850194,101269386_ST
8000500227848,101283012_ST
7350113940032,101335301_ST
7611612109406,101285966_ST
7310500026039,100655792_ST
7340083466830,101281469_ST
7340083444333,101240156_ST
7340083465567,101281488_ST
7340083465543,101281446_ST
7340062457941,101690521_ST
7311442161604,101070957_ST
7310240079586,101210866_ST
7350167516535,101826606_ST
7300204336008,101274449_ST
7340109307352,101492202_ST
7340083497346,101406133_ST
7311043001354,101458935_ST
5707196031836,100817092_ST
2359768400002,101360244_KG
7340083497353,101406134_ST
