ean,article,name,altText,brand,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
8007153007490,101590296_ST,100% Italiensk Extra Virgin Olivolja,100% Italiensk Extra Virgin Olivolja 500ml Farchioni,Farchioni,118.3,100 gram,828.0,3404.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,willys
3080216060453,101499200_ST,"1664 Blanc 0,0% Veteöl, Glasflaska","1664 Blanc 0,0% Veteöl, Glasflaska 33cl Kronenbourg",Kronenbourg,15.04,100 milliliter,29.0,121.0,0.0,0.0,6.7,3.8,,0.4,0.01,willys
3080216062327,101551616_ST,"1664 Blanc 3,5% Öl, Burk","1664 Blanc 3,5% Öl, Burk 33cl 1",1,15.99,100 milliliter,32.0,132.0,,,,,,,,willys
5900649011052,101506635_ST,3in 1 Classic Snabbkaffe,3in 1 Classic Snabbkaffe 10p Mokate,Mokate,21.67,,,,,,,,,,,
8445291509863,101841031_ST,3in1,3in1 10p Nescafé,Nescafé,27.35,100 gram,432.0,1819.0,13.6,12.4,74.8,55.9,2.6,1.3,1.3,willys
7340154813662,101620044_ST,4 Cheese Mac & Cheese 2 Portioner,4 Cheese Mac & Cheese 2 Portioner 184g Macheaven,Macheaven,26.4,100 gram,398.0,1677.0,8.9,3.0,64.0,9.8,,14.0,2.0,willys
5997523312114,101527909_ST,5 Spices Beef Cup Noodles,5 Spices Beef Cup Noodles 64g Nissin,Nissin,18.83,100 milliliter,78.0,326.0,3.0,1.5,9.6,0.8,,2.5,1.2,willys
7350126082712,101406051_ST,5minuters Sill Hela Filéer,5minuters Sill Hela Filéer 430/210g Abba,Abba,40.6,100 gram,268.0,1124.0,13.0,3.4,27.0,26.0,,11.0,3.6,willys
8719128117294,101342345_ST,7 Up Free Soda Mix,7 Up Free Soda Mix 9l/44cl Sodastream,Sodastream,53.85,100 milliliter,0.6,2.0,0.0,0.0,0.0,0.0,,0.0,0.05,willys
7340083443602,101231748_ST,70% Cacao Mörk Choklad Trinitario Bönor,70% Cacao Mörk Choklad Trinitario Bönor 100g Garant,Garant,28.29,100 gram,580.0,2400.0,42.0,25.0,36.0,29.0,9.3,9.1,0.08,willys
3046920028004,100403154_ST,70% Cocoa Dark Excellence Chokladkaka,70% Cocoa Dark Excellence Chokladkaka 100g Lindt,Lindt,39.9,100 gram,566.0,2350.0,41.0,24.0,34.0,30.0,,9.5,0.1,willys
3046920029780,101179861_ST,70% Cocoa Mild Excellence Chokladkaka,70% Cocoa Mild Excellence Chokladkaka 100g Lindt,Lindt,39.9,100 gram,610.0,2528.0,48.0,29.0,33.0,29.0,,6.9,0.01,willys
3046920022422,101780346_ST,70% Milk Excellence Fusion,70% Milk Excellence Fusion 100g Lindt,Lindt,39.9,100 gram,554.0,2308.0,36.0,21.0,46.0,42.0,,8.1,0.15,willys
3046920022439,101780348_ST,70% White Excellence Fusion,70% White Excellence Fusion 100g Lindt,Lindt,39.9,100 gram,566.0,2357.0,38.0,23.0,46.0,43.0,,7.1,0.13,willys
7310070005281,101364835_ST,7up Zero Läsk Burk,7up Zero Läsk Burk 33cl 7up,7up,8.04,100 milliliter,1.0,5.0,0.0,0.0,0.0,0.0,,0.1,0.05,willys
7340083470752,101286436_ST,85% Cacao Mörk Choklad,85% Cacao Mörk Choklad 100g Garant,Garant,28.29,100 gram,597.0,2470.0,48.0,29.0,24.0,13.0,,11.0,0.07,willys
3046920028363,100383327_ST,85% Cocoa Dark Excellence Chokladkaka,85% Cocoa Dark Excellence Chokladkaka 100g Lindt,Lindt,39.9,100 gram,584.0,2418.0,46.0,27.0,22.0,15.0,,12.5,0.01,willys
3046920022446,101780347_ST,85% Milk Salt Excellence Fusion,85% Milk Salt Excellence Fusion 100g Lindt,Lindt,39.9,100 gram,559.0,2326.0,38.0,23.0,39.0,34.0,,9.7,0.33,willys
7310290002268,100477887_ST,88:an Glass,88:an Glass 95ml Gb Glace,Gb Glace,18.92,61 gram,186.0,779.0,11.0,6.0,19.0,17.0,0.6,2.0,0.07,willys
8712100446306,101219604_ST,88an Glass,88an Glass 6p Gb Glace,Gb Glace,49.11,100 milliliter,196.0,819.0,12.0,6.2,19.0,18.0,0.7,2.1,0.07,willys
3046920029759,101043363_ST,90% Cocoa Dark Excellence Chokladkaka,90% Cocoa Dark Excellence Chokladkaka 100g Lindt,Lindt,39.9,100 gram,592.0,2483.0,55.0,30.0,14.0,7.0,,10.0,0.03,willys
7310401034799,101278911_ST,A Ship Full Of Alcohol Free Ipa 0% Alkfri Eg,A Ship Full Of Alcohol Free Ipa 0% Alkfri Eg 33cl Brutal Brewing,Brutal Brewing,14.1,100 milliliter,20.0,100.0,0.5,0.5,5.3,0.5,,0.5,0.01,willys
7311043002290,101476110_ST,A-fil 3%,A-fil 3% 1kg Garant,Garant,13.9,100 gram,58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,willys
7331102000715,100674913_ST,A-fil 3%,A-fil 3% 1l Wapnö,Wapnö,18.45,100 gram,60.0,250.0,3.0,1.9,4.0,4.0,,3.4,0.1,willys
7311041071953,101184902_ST,A-fil Ekologisk 3%,A-fil Ekologisk 3% 1kg Garant Eko,Garant Eko,17.88,100 gram,58.0,245.0,3.0,1.9,3.7,3.7,,3.5,0.09,willys
7393061019269,100106939_ST,A-fil Natruell 3%,A-fil Natruell 3% 1kg Falköpings,Falköpings,16.5,100 gram,60.0,250.0,3.0,1.9,3.8,3.8,,3.4,0.1,willys
7340083496219,101353105_ST,A-fil Naturell Acidophilus Laktosfri 3%,A-fil Naturell Acidophilus Laktosfri 3% 1l Garant,Garant,19.9,100 gram,50.0,208.0,3.0,1.9,2.2,2.2,,3.5,0.1,willys
7340083469176,101285732_ST,Aah Örtte Hibiskus med Blåbär & Havtorn,Aah Örtte Hibiskus med Blåbär & Havtorn 20p Garant,Garant,18.83,,,,,,,,,,,
3529380020837,101774912_ST,Abbaye Hårdost,Abbaye Hårdost 180g Haute Fromager,Haute Fromager,64.9,100 gram,396.0,1643.0,32.0,22.0,0.5,0.5,,27.0,1.8,willys
7313830006429,101274545_ST,Abisko 8-pack,Abisko 8-pack 360g Polarbröd,Polarbröd,22.61,100 gram,300.0,1260.0,3.9,0.7,55.0,9.8,3.9,8.9,0.88,willys
8711327624917,101615628_ST,After Dinner Glass,After Dinner Glass 8p Magnum,Magnum,42.49,35 milliliter,101.0,421.0,6.6,4.6,8.9,8.0,0.5,1.2,0.04,willys
5000189363069,101207525_ST,After Eight Chokladask,After Eight Chokladask 200g Nestlé,Nestlé,47.22,100 gram,426.0,1792.0,12.9,7.6,73.5,67.8,2.8,2.1,0.03,willys
7340123700450,101277525_ST,Agar Agar Pulver,Agar Agar Pulver 30g Khoisan Tea,Khoisan Tea,37.76,,,,,,,,,,,
5772739447313,101834790_ST,Agave Sirap,Agave Sirap 350g Jakobsen,Jakobsen,26.4,100 gram,330.0,1390.0,0.0,0.0,80.0,80.0,,0.0,0.0,willys
3088542506508,101228322_ST,Agavesirap Ekologiskt,Agavesirap Ekologiskt 500g Sunny Bio,Sunny Bio,51.95,100 gram,320.0,1360.0,0.5,0.1,80.0,79.0,0.5,0.5,0.01,willys
7310350109906,100164778_ST,Ahlgrens Bilar Original,Ahlgrens Bilar Original 160g Ahlgrens Bilar,Ahlgrens Bilar,15.04,100 gram,352.0,1493.0,0.2,0.2,82.0,57.0,,4.4,0.02,willys
